省份,计划类别,招生专业,科类,专业组,招生计划
安徽,高校专项,工商管理类,历史类,不限,2
安徽,高校专项,公共管理类,历史类,不限,1
安徽,高校专项,社会学类,历史类,不限,1
安徽,高校专项,政治学与行政学,历史类,政治,1
安徽,高校专项,电子信息科学与技术,物理类,化学,1
安徽,高校专项,化学,物理类,化学,2
安徽,高校专项,生物科学类,物理类,化学,1
安徽,高校专项,听力与言语康复学,物理类,化学,1
安徽,高校专项,物理学,物理类,化学,1
安徽,高校专项,心理学类,物理类,化学,1
安徽,国家优师专项,汉语言文学（优师专项）,历史类,不限,1
安徽,国家优师专项,历史学（优师专项）,历史类,不限,1
安徽,国家优师专项,英语（优师专项）,历史类,不限,2
安徽,国家优师专项,数学与应用数学（优师专项）,物理类,化学,2
安徽,国家优师专项,物理学（优师专项）,物理类,化学,2
安徽,国家专项,汉语言文学（公费师范）,历史类,不限,2
安徽,国家专项,历史学（公费师范）,历史类,不限,1
安徽,国家专项,特殊教育（公费师范）,历史类,不限,2
安徽,国家专项,学前教育（公费师范）,历史类,不限,4
安徽,国家专项,英语（公费师范）,历史类,不限,2
安徽,国家专项,思想政治教育（公费师范）,历史类,政治,1
安徽,国家专项,地理科学（公费师范）,物理类,化学,2
安徽,国家专项,化学（公费师范）,物理类,化学,3
安徽,国家专项,生物科学（公费师范）,物理类,化学,2
安徽,国家专项,数学与应用数学（公费师范）,物理类,化学,2
安徽,国家专项,物理学（公费师范）,物理类,化学,4
安徽,普通类(本科批),法学,历史类,不限,2
安徽,普通类(本科批),法学（双学位）,历史类,不限,2
安徽,普通类(本科批),翻译（双学位）,历史类,不限,2
安徽,普通类(本科批),工商管理类,历史类,不限,2
安徽,普通类(本科批),公共管理类,历史类,不限,2
安徽,普通类(本科批),汉语国际教育,历史类,不限,3
安徽,普通类(本科批),汉语言文学,历史类,不限,2
安徽,普通类(本科批),教育学类,历史类,不限,2
安徽,普通类(本科批),金融学类,历史类,不限,3
安徽,普通类(本科批),历史学,历史类,不限,2
安徽,普通类(本科批),人力资源管理（双学位）,历史类,不限,2
安徽,普通类(本科批),社会学类,历史类,不限,2
安徽,普通类(本科批),新闻传播学类,历史类,不限,2
安徽,普通类(本科批),英语,历史类,不限,2
安徽,普通类(本科批),广播电视编导,历史类,不限2,2
安徽,普通类(本科批),马克思主义理论,历史类,政治,2
安徽,普通类(本科批),人文地理与城乡规划,历史类,政治,3
